title,Year,Car Body Type,Mileage,Cylinder Volume,Horsepower,Transmission,Petrol Type,Owners,price
Audi TT Roadster TFSI SPORT+ULEZ COMPLIANT+AUTOMATIC,2013,Convertible,"82,000 miles",2.0L,208BHP,Auto,Petrol,1 owner,"£9,870"
Mazda MX-5 1.5 [132] SE+ 2dr Alloy Wheels,2019,Convertible,"25,436 miles",1.5L,130BHP,Manual,Petrol,1 owner,"£14,250"
Porsche Cayenne 3.0 D V6 TIPTRONIC 5d 245 BHP,2012,SUV,"67,114 miles",3.0L,245BHP,Auto,Diesel,5 owners,"£19,450"
Audi TT DIESEL COUPE,2013,Coupe,"91,000 miles",2.0L,168BHP,Manual,Diesel,1 owner,"£10,395"
McLaren 720S V8 SSG. CARBON EXT 1. CARBON INT 1 + 2. FRONT LIFT. 360 CAM. SPORTS EXHAUST,2021,Convertible,"13,000 miles",4.0L,711BHP,Auto,Petrol,2 owners,"£199,995"
Mazda MX-5 1.8i SE 2dr [Air Con],2009,Convertible,"70,000 miles",1.8L,124BHP,Manual,Petrol,4 owners,"£5,300"
Porsche Macan GTS 5dr PDK,2023,Hatchback,375 miles,2.9L,434BHP,Auto,Petrol,1 owner,"£92,999"
Mercedes-Benz A-Class 2.1 A200 CDI AMG NIGHT EDITION 5d 134 BHP,2015,Hatchback,"72,000 miles",2.1L,134BHP,Manual,Diesel,2 owners,"£12,990"
Volkswagen Golf 2.0 TSI BlueMotion Tech R DSG 4Motion Euro 6 (s/s) 5dr,2017,Hatchback,"40,908 miles",2.0L,306BHP,Auto,Petrol,1 owner,"£23,950"
BMW 1 Series 3.0 M140i Shadow Edition Auto Euro 6 (s/s) 5dr,2018,Hatchback,"29,999 miles",3.0L,335BHP,Auto,Petrol,2 owners,"£25,895"
Audi S3 SPORTBACK S3 2.0 TFSI 300 QUATTRO S TRONIC,2019,Hatchback,"37,619 miles",2.0L,296BHP,Auto,Petrol,1 owner,"£27,798"
Alfa Romeo Stelvio 2.9 V6 Bi-Turbo Quadrifoglio Auto Q4 AWD Euro 6 (s/s) 5dr,2021,Hatchback,"7,000 miles",2.9L,503BHP,Auto,Petrol,2 owners,"£59,995"
Kia Stinger 2.0 T-GDi GT-Line 5dr Auto Petrol Hatchback,2019,Hatchback,"23,010 miles",2.0L,241BHP,Auto,Petrol,2 owners,"£24,350"
Volkswagen Polo 1.8 TSI BlueMotion Tech GTI Hatchback 3dr Petrol Manual Euro 6 (s/s) (192 p,2016,Hatchback,"65,400 miles",1.8L,189BHP,Manual,Petrol,3 owners,"£11,963"
Ford Fiesta ST-3,2022,Hatchback,"2,744 miles",1.5L,197BHP,Manual,Petrol,1 owner,"£26,000"
Volkswagen Golf 2.0 TSI R 5dr DSG,2016,Hatchback,"39,951 miles",2.0L,298BHP,Auto,Petrol,4 owners,"£21,995"
Volkswagen Golf 2.0 TSI R Hatchback 5dr Petrol DSG 4Motion Euro 6 (s/s) (300 ps),2019,Hatchback,"10,725 miles",2.0L,296BHP,Auto,Petrol,1 owner,"£30,290"
McLaren 720S V8 SSG 2-Door,2020,Coupe,"13,819 miles",4.0L,711BHP,Auto,Petrol,3 owners,"£159,900"
Ford Focus 2.0 ST-3 TDCI 5d 183 BHP,2017,Hatchback,"94,324 miles",2.0L,182BHP,Manual,Diesel,4 owners,"£12,400"
Volkswagen Golf 2.0 TSI R Hatchback 5dr Petrol DSG 4Motion Euro 6 (s/s) (300 ps),2020,Hatchback,"16,246 miles",2.0L,296BHP,Auto,Petrol,1 owner,"£30,200"
Volkswagen Golf 2.0 TSI 245 GTI Performance 5dr DSG,2019,Hatchback,"49,782 miles",2.0L,241BHP,Auto,Petrol,2 owners,"£22,950"
MINI Mini 2.0 John Cooper Works 2dr,2017,Convertible,"41,388 miles",2.0L,228BHP,Manual,Petrol,4 owners,"£18,950"
